question,subject
Explain how a synchronous motor can be made to operate at leading or lagging power factors. Verify your explanation with suitable phasor diagrams.,Advanced Electrical Machine
What is meant by synchronizing of alternators? Derive the expression for synchronizing power and synchronizing torque when two alternators are connected in parallel.,Advanced Electrical Machine
Why starter is necessary to start an induction motor? Mention the various methods of starting. Explain in detail auto-transformer method of starting a squirrel cage induction motor.,Advanced Electrical Machine
Derive the mathematical expression that describes the heating curve (temperature rise) for continuous operation of motor.,Advanced Electrical Machine
The temperature rise of electrical machine is 20⁰C after one hour and 36⁰C after two hours of starting from cold condition. Calculate final steady temperature rise and heating time constant. If its temperature falls from the final steady value to 40⁰C in 1.5 hr when the supply is disconnected. Calculate its cooling time constant. The ambient temperature is 25⁰C,Advanced Electrical Machine
Write short notes on (Any two):   i) Synchronous condenser   ii) Methods of cooling in electrical machines.   iii) Double revolving field theory of single-phase induction motor.,Advanced Electrical Machine
What are the applications of sample-hold circuit? Briefly explain the characteristics curve of sample-hold circuit.,Advanced Instrumentation
Sketch the magnetic tape record head and the tape transport mechanism and hence explain the principle of tape records to verify that the reproduce head act as a differentiator.,Advanced Instrumentation
What is the major drawback of staircase ramp A/D converter? Find the successive approximation A/D output for a 4-bit converter to a 3.017 V input if the reference is 5V.,Advanced Instrumentation
Draw the waveforms of AM & FM and briefly explain the modulation mechanisms.,Advanced Instrumentation
"What is the meaning of the terms scanning, logging, smoothing and filtering, data compression and archiving in digital data acquisition systems?",Advanced Instrumentation
Briefly explain packet data and optical fiber transmission systems.,Advanced Instrumentation
Draw a simple circuit to interface stepper motor with 8051 microcontroller and write a program to rotate it continuously.,Advanced Instrumentation
An 8-bit Digital to Analog Converter (DAC) is calibrated for 0 to 10V range. Design a circuit to interface this DAC (address FFH) with an 8085 microprocessor. Also write an assembly program to generate continuous waveform from this configuration.,Advanced Instrumentation
"Compare and contrast machine language, assembly language and high level language.",Advanced Instrumentation
"What is mass spectrometry? Briefly explain the basic working principle of mass spectrometer with suitable diagram, and give an outline of what happens in a mass spectrometer, also sketch what the mass spectrometer output looks like (Stick diagram), choose your own element.",Advanced Instrumentation
What is the Non-Destructive Testing (NDT)? List different types of NDTs. Describe any suitable method of NDT to detect the flaws in the metal structure.,Advanced Instrumentation
A newly established industry requires a microprocessor based automatic system to communication? Explain different transmission formats of serial communication.,Advanced Instrumentation
Explain microprocessor based instrumentation system.,Advanced Instrumentation
Interface a light bulb to parallel port and write a program to control it via 8085 microprocessor or 8051 microcontroller.,Advanced Instrumentation
Write short notes on (Any two):   i) Using Nuclear Magnetic Resonance to test fat content in foods.   ii) Addressing modes of 8051 or 8085 microprocessor.   iii)  Telemetry,Advanced Instrumentation
Explain in brief about the three sub-systems involved in the block diagram of a communication system.,Analog Communication
State and explain the channel capacity theorem. Calculate the maximum data rate that could be send over a telephone line whose S/N ratio is 20dB and passes over the frequency range from  300-3400 Hz.,Analog Communication
"Define pre-envelope, complex envelope and natural envelope of a bandpass signal.  ",Analog Communication
Explain the operation of balanced modulator for the generation of DSB-SC signal.,Analog Communication
Calculate the percentage of power saved when the carrier and one of the sidebands are suppressed in an AM wave modulated to a depth of 50% and 100%.,Analog Communication
Derive the expression for the SSB modulated wave.,Analog Communication
Discuss the effect of frequency and phase errors in the local oscillator in the DSB-SC modulated wave.,Analog Communication
How can you generate a FM modulated wave using a phase modulator? And how can you generate a PM modulated wave using a frequency modulator. Explain with the help of a neat diagram.,Analog Communication
Explain Limiter-Discriminator method of  FM detection with neat sketch.,Analog Communication
Explain the effect of frequency and phase errors in the local oscillator in DSB and SSB.,Analog Communication
Explain how envelope detector works along with necessary conditions for charging and discharging time constants.,Analog Communication
What are the types of modulation used in television broadcasting system?,Analog Communication
List out the advantages and application of satellite system.,Analog Communication
Write short notes on (Any two):   i) Narrow-band versus wide band FM   ii) FDMA   iii) Propagation modes at radio frequencies,Analog Communication
What is an Operating System? Briefly describe the Evolution of the Operating Systems.,Applied Operating System
Explain user level thread and kernel level thread. In which circumstances user-level thread is better than Kernel level thread,Applied Operating System
Round-robin scheduling behaves differently depending on its time quantum. Can the time quantum be set to make round robin behave the same as any of the following algorithms? If so how? Proof the assertion with an example   i) FCFS   ii) SJF   iii) SRTN ,Applied Operating System
What is Semaphore? How producer-consumer problem is solved using semaphore. Explain with pseudo code.,Applied Operating System
What is paging? Explain the mapping of virtual address to real address under segmentation in MULTIC architecture.,Applied Operating System
Discuss in detail the use of Translation Lookaside Buffer (TLB) in the process of paging. Support your answer with illustrations,Applied Operating System
Describe how free space list is maintained for free space management.,Applied Operating System
Explain the following services provided by the kernel I/O subsystem: i) I/O Scheduling ii) Buffering iii) Caching,Applied Operating System
"What is demand paging? For the following page reference string, 1,2,3,5,8,3,6,3,1,7,5,8,2,4,1,6,3,1 assuming number of frames = 4, find the total number of page faults using Least Recently Used  Optimal page replacement algorithm. ",Applied Operating System
What is Stable storage? Discuss about stable storage implementation in short.,Applied Operating System
A disk has 8 sectors track and spins at 600 rpm. It takes the controller time 10ms from the end of one I/O operation before it can issue a subsequent one. How long does it take to read all 8 sectors using the following interleaving system   i) No interleaving   ii) Single interleaving   iii) Double interleaving ,Applied Operating System
What is difference between Deadlock and Starvation? ,Applied Operating System
Write short notes on any two:   i) File protection   ii) Resource Allocation graph   iii) Fragmentation,Applied Operating System
"The Architect and Contractor do not sing any agreement between them yet, how does the architect derive legal authority to deal with contractor? Discuss the issues involved.",Architect and Society
What do you understand by professional ethics? How is ethical behaviour regulated among professionals? Explain the code of conduct prepared by Nepal engineering Council.,Architect and Society
"How are Architecture, Sociology and Anthropology closely related?",Architect and Society
What do you understand by social and cultural change? Explain with examples.,Architect and Society
Throw Light on Concentric planning system during Malla period. What were the causing factors?,Architect and Society
Discuss the fundamental assumptions of structural functionalism. Explain Red Cliff Brown’s principle.,Architect and Society
Write short notes on any two:   i) Conflict Model   ii) Acculturation   iii) Private Limited Company,Architect and Society
What do you mean by a production system in AI? What are the major components of AI production system? Explain.,Artificial Intelligence Neural Network
Compare and contrast forward chaining and backward chaining.,Artificial Intelligence Neural Network
Define Intelligent Agent. Sketch and explain the basic architecture of an intelligent agent. Give an example of an intelligent agent.,Artificial Intelligence Neural Network
Define Perceptron. Explain the back propagation algorithm,Artificial Intelligence Neural Network
"Let us consider the following fact: John likes all kinds of food Apples are food , Chicken is food, Anything any one eats and is not killed by is food, Bill eats peanuts and is still alive, Sue eats everything Bill eats. Using resolution, prove that John likes peanuts.",Artificial Intelligence Neural Network
Define semantic networks. Explain how the knowledge is represented in semantic networks with examples,Artificial Intelligence Neural Network
What do you mean by heuristic search. Explain how Bayesian network is used to reason on uncertainty with suitable examples,Artificial Intelligence Neural Network
Explain the min-max procedure with example.,Artificial Intelligence Neural Network
Explain the Genetic algorithms and Boltzmann machines,Artificial Intelligence Neural Network
Explain the learning by analogy with an example,Artificial Intelligence Neural Network
What is a neural network? Explain the Hopfield network.,Artificial Intelligence Neural Network
What is Knowledge acquisition? How is the knowledge acquired from human expert to build an expert system,Artificial Intelligence Neural Network
"Write short notes on any two: Expert System, Case –based reasoning , Natural Language Processing",Artificial Intelligence Neural Network
Do you consider a mobile phone (smartphone) to be intelligent? Justify your answer.,Artificial Intelligence
What is 8-puzzle problem? How can you solve a problem using production system?,Artificial Intelligence
Trace the constraint satisfaction procedure for solving the following cryptarithmatic problem: SEND + MORE = MONEY. ,Artificial Intelligence
"Compare Depth limited search and breadth first search in terms of time and space complexity, completeness and optimality.",Artificial Intelligence
"Using a suitable example, illustrate steps of A* search. Why A* search is better than Best first search.",Artificial Intelligence
"Represent the following sentences in first order logic: A person with a dust allergy sneezes, You can fool all of the people some of the time,  No cake lover throws a cake.",Artificial Intelligence
Contrast and compare Semantic Nets and Frames for knowledge representation. List limitations of these representations.,Artificial Intelligence
State and explain in brief about EBL-system. What are its advantages.,Artificial Intelligence
Define a perceptron. Describe a mechanism to train a perceptron.,Artificial Intelligence
Describe with examples how understanding a natural language is difficult at syntactic and semantic levels.,Artificial Intelligence
"Write short notes on: (Any two) Informed search Vs Uninformed search, learning by analogy, Baye's theorem",Artificial Intelligence
Describe in brief the computer evolution in terms of its generation.,Basics of Computer and Programming
What is computer memory? Describe the types of computer memory.,Basics of Computer and Programming
What are the laws of Boolean Algebra? State & prove De-Morgan’s Theorem.,Basics of Computer and Programming
Convert decimal number 209.34375 to binary and verify it.,Basics of Computer and Programming
What are the laws of Boolean Algebra? State & prove De-Morgan’s Theorem.,Basics of Computer and Programming
Subtract using 2’s complement method: 10001 from 1011,Basics of Computer and Programming
What do you mean by programming language? Write about different types of programming languages?,Basics of Computer and Programming
Draw a flowchart and C program to find the roots of quadratic equation ax2 + bx + c = 0,Basics of Computer and Programming
Write an algorithm to find sum of the first 25 natural numbers and also draw a flow chart of it.,Basics of Computer and Programming
Write C program to read a character and test whether it is an alphabet or digit or space or any other special character?,Basics of Computer and Programming
"Write short notes on: (Any two) Logic gates & truth table Assembler, Compiler and Interpreter Logical operators Float and double data types",Basics of Computer and Programming
"Explain in brief about generation, transmission and distribution of electrical power.",Basic Electrical Engineering
Explain the construction and operation of single phase energy meter.,Basic Electrical Engineering
Define active and passive elements. Find the equivalent resistance of the given network seen from the source.,Basic Electrical Engineering
By using Supermesh concept calculate voltage across 2Ω resister of the circuit shown below. ,Basic Electrical Engineering
State maximum power transfer theorem. Prove that the maximum power transferred to the load is Vth2/4Rth,Basic Electrical Engineering
State Thevenin’s theorem and use it to calculate power consumed by 3Ω resistor for the circuit shown below.,Basic Electrical Engineering
"Define resonance in electric circuit. Explain the variation of inductive reactance, capacitive reactance, impedance and current with frequency in RLC series circuit. Also find the resonant frequency in RLC series circuit.",Basic Electrical Engineering
"A coil of resistance 40Ω and inductive reactance of 25Ω is connected in series to 220v, 50Hz supply. Calculate Active and reactive components, Total power of the circuit",Basic Electrical Engineering
"A 240v shunt motor runs at 1450 rpm at full load with an armature current of 11 A. The total resistance of armature and brush is 0.6Ω. If the speed to be reduced to 1000rpm with the same armature current, calculate the value of resistance to be connected in series with the armature.",Basic Electrical Engineering
"A 50KVA, 500/250V transformer has a primary winding resistance of 0.5Ω and leakage reactance of 0.7Ω. The secondary winding resistance is 0.8Ω and leakage reactance of 0.9Ω. Calculate the equivalent resistance, reactance and impedance of transformer referred to Primary Secondary ",Basic Electrical Engineering
Explain the construction and operating principle of 3φ induction motor,Basic Electrical Engineering
Explain the construction and operation of synchronous motor.,Basic Electrical Engineering
"Write short notes on: (Any two) Advantages of 3φ system Magnetic circuit analogy with electric circuit, Power factor and its significance",Basic Electrical Engineering
"Define force and linear momentum. ?.Also, state and explain principle of conservation of linear momentum for two particle system.",Basic Engineering Physics
"SHM is rare in nature, Why?. Derive the time period of simple pendulum.  Calculate the force necessary to keep a mass of 0.2kg moving in a horizontal circle of radius 0.5m with a period of 0.5sec.",Basic Engineering Physics
State and explain Gauss law in electrostatics. Derive Coulombs law with the help of this law.,Basic Engineering Physics
A capacitor charged from a 50 V d. c supply is discharged across a charge measuring instrument and found to have carried a charge of 20 μc. What is the capacitance of the capacitor and energy stored on it?,Basic Engineering Physics
"Define current and current density. Also, State and explain Kirchoff's law with a suitable example.",Basic Engineering Physics
"Define the terms minimum deviation. Also derive the relation between angle of incidence, angle of emergence, angle of deviation and angle of prism.",Basic Engineering Physics
What are the focal length and radius of curvature of a mirror? Drrive the mirror formula for the reflection of light through a spherical mirror.,Basic Engineering Physics
"For a equilateral glass  prism, the angle of minimum deviation is 40. Calculate its refractive index.",Basic Engineering Physics
"Define magnet and magnetic materials. Also, calculate the magnetic field intensity at a point on the axial point of a bar magnet.",Basic Engineering Physics
An object is placed 30 cm from a convex lens of focal length 15 cm. Calculate the image distance and magnification produced.,Basic Engineering Physics
Write short notes on: (Any two) Fundamental and Derived units Friction and its type Cylindrical capacitor and its capacitance.,Basic Engineering Physics
Compare and discuss Dalton’s atomic theory with Rutherford’s atomic theory.,Basic Engineering Chemistry
State and explain the law of multiple proportions with suitable two examples.,Basic Engineering Chemistry
State and explain sequence rule. How it is applicable in case of potassium (atomic no. 19) and oxygen (atomic no. 8).  ,Basic Engineering Chemistry
State and explain Hund’s Rule. Illustrate it taking suitable example.,Basic Engineering Chemistry
Explain Bronsted and Lowery’s concept of acids and bases. Explain it taking any two examples.,Basic Engineering Chemistry
"Write short notes on: Indicator, End point and Molarity",Basic Engineering Chemistry
Draw a diagram and explain the electrolysis of water. Write down the chemical reaction involved during the process.,Basic Engineering Chemistry
What do you mean by strength of a solution? Calculate the strength of 5 gram NaOH pallets dissolved in 200ml solution. Express the concentration in Normality and Molarity.,Basic Engineering Chemistry
What do you mean by electronegativity? Discuss the factors affecting its values?,Basic Engineering Chemistry
Differentiate between covalent and electrovalent bonds? Discuss the properties of covalent compounds. Write the nature of bonds formed in the following compounds: MgCl N CO  ,Basic Engineering Chemistry
What do you mean by Ionization Energy? Discuss the factors affecting its values?,Basic Engineering Chemistry
Explain ionic bond. Write the characteristic properties of electrovalent compounds.,Basic Engineering Chemistry
Write the structure of following organic compounds: Iodomethane Hexane Butanol Butane Cyclopropane Ethanoic acid Methoxymethane Ethylpropanoate Chlorobenzene Chloro bromomethanel ,Basic Engineering Chemistry
Write short notes on: (Any two) Quantum numbers Electron affinity Lewis theory of acids and bases Electroplating,Basic Engineering Chemistry
What are the main objectives shoring? Explain the construction method of raking shore with sketches?,Building Construction II
What is meant by scaffolding? Explain the cantilever scaffolding with sketches.,Building Construction II
What is meant by triple roof truss? Explain the king post roof truss with sketches.  Draw the neat sketches of timber triple floor showing all necessary details.,Building Construction II
What is meant by reinforcement concrete? Explain the reinforcement concrete foundations with sketches.,Building Construction II
Draw the neat sketches of precast concrete slabs and explain the advantages and disadvantages of pcc slab.,Building Construction II
What is solid floor? Explain the construction method of granolithic floor finishing and mosaic floor finishing.,Building Construction II
"What is fire place? What are the functions of fire back, chimney stack and chimney breast?",Building Construction II
"Write short notes on: (Any two) Needle and pile underpinning, form work for stair, PCC foundation to PCC column connection, couple close roof",Building Construction II
Explain the term “Preservation of Stone”. Why is it done? List the preservatives used in stone. Explain any two.,Building Material
Explain “Conversion of Timber”. Why and how is it done?,Building Material
How are good bricks manufactured? List and explain any three of them.,Building Material
What is Steel? Explain its types and properties.,Building Material
Compare between Fat lime and Hydraulic lime. Explain with flow diagram the dry process of manufacture of cement.,Building Material
What is water cement ratio and slump test? Discuss the properties of cement concrete in plastic stage.,Building Material
Explain in detail the structure of an exogenous tree with the help of neat sketch. List the different methods used for preservation of timber and explain any three of them?,Building Material
What are Fire resisting materials? Explain the fire resistive property of at least four building materials used in construction.,Building Material
"Write short notes on: (Any two) Dressing of stones, Mortars, Plastic",Building Material
What are the considerations to prepare the site for any construction works? Explain it with a sketch.,Building Construction I
Explain any one method of soil exploration and illustrate it with a neat sketch.,Building Construction I
Explain box sheeting among timbering methods with neat sketches. What are the problems and precautions of deep excavation of trenches?,Building Construction I
What do you mean by an arch and explain three types of classification of arches?,Building Construction I
What do you understand by Deep foundation? Explain different types of pile foundations.,Building Construction I
What do you mean by a damp proof course? What are reasons behind the occurrence of dampness in buildings? How is treatment done to prevent from dampness in Parapet walls?,Building Construction I
Explain the use of masonry and different terms used in it. How are bricks classified in terms of their quality evaluation?,Building Construction I
What are the requirements of a good partition walls. Describe the construction of timber partition with labeled diagram?,Building Construction I
Explain any three types of stairs with suitable diagrams.,Building Construction I
Design a staircase for a residential building of floor height 3m and size of staircase hall 4.8m×2.7m. Draw the plan and section of staircase with detail dimensions.,Building Construction I
"Write short notes on: (Any two) Flush door, Combined footing, Stretcher bond",Building Construction I
"Explain the basic nature of light and define following terms: Utilization factor, Luminous efficacy of an electric lamp, maintenance factor",Building Services II
"Explain the following terms, related to building electrification: Feeder line, Power circuit, Light circuit",Building Services II
"What do you understand by the term, “Lightning Arrestor”/ Explain the role of lightening arrestor installed in a high rise building?",Building Services II
"What do you understand by the term, “Distribution Transformer”? Explain its importance.",Building Services II
Explain de-humidifier and its types.,Building Services II
How the refrigeration system works. Describe.,Building Services II
What is ventilation? Explain natural ventilation processes.,Building Services II
What is sick building syndrome? What are the causes and remedies of sick building syndrome?,Building Services II
What is elevator? Explain its types with reference to the hoist mechanism used.,Building Services II
Describe different components of escalator.,Building Services II
"Write short notes on: (Any two) Kitchen chimney, Direct and indirect lighting, Mean Spherical Candle Power",Building Services II
What are the objectives underlying building water supply?,Building Services I
Describe possible underground sources of water for a community water supply with their quantitative and qualitative point of view.,Building Services I
State objectives of water treatment. Explain sedimentation and filtration in the process of water treatment.  ,Building Services I
"Describe domestic, live-stock and institutional water demands with their rate of water requirements.",Building Services I
"Discuss ferrule, gooseneck, water meter, service pipe, internal plumbing, underground and overhead water tanks with sketches as principle of building water supply services.",Building Services I
Sketch a typical toilet plan with three sanitary fixtures and lay out water and sanitary pipe lines.,Building Services I
Explain the methods of estimate of storm sewage.,Building Services I
Describe the materials from which water supply pipes can be manufactured.,Building Services I
"Explain one pipe, two pipe, single stack and single stack partially ventilated systems with necessary sketches as building sanitary plumbing systems.",Building Services I
"With neat sketches discuss construction, function and working of a septic tank.",Building Services I
Explain land treatment as a method of sewage disposal.,Building Services I
"Write short notes on:  Pit latrine, Valves used in water supply",Building Services I
What is energy? Write down the importance of energy in buildings.,Building Science II
Describe the energy resources base in Nepal.,Building Science II
Write the methods of solar system in a building. Explain any one passive solar system in detail.,Building Science II
Enumerate the solar collectors used for heat.,Building Science II
Define light and describe its units of measurement.,Building Science II
Define day light factor and its component.,Building Science II
Write the methods of calculation of artificial light. Describe any one in detail.,Building Science II
"The uncorrected DF of an office in an industrial area is  10.05% . The window frames are wooden and the windows are clear single glazed. Find the corrected DF for the same room, if IRC  is 0.5%.(Assume the necessary datas wherever necessary)",Building Science II
What are the  possibilities for openings for day light ? Describe any one in detail.,Building Science II
Write down the luminaries used in buildings.,Building Science II
Define sound and noise. Write noise control within a building.,Building Science II
Write the acoustical design principles of auditorium.,Building Science II
"Write short notes on: (Any two) Energy Crisis, Refraction of sound, High intensity discharge lamp, Reverberation",Building Science II
Write down the importance of the study of climatology for the students of architecture.,Building Science I
Describe the global wind pattern and earth’s thermal balance.,Building Science I
What different designing principles will you follow if you have to design a house in a Warm humid climate?,Building Science I
Define solar azimuth angle and solar altitude angle.  What is solar chart? Write the use of solar chart for designing sun shading devices in a building.,Building Science I
Write the objective of thermal control in building.Describe the methods of thermal control.,Building Science I
Describe the heat exchange process of the building with respect to the environment.,Building Science I
What is ventilation? Write the importance of ventilation in buildings.,Building Science I
Write the factors which you have to keep in mind  for proper ventilation in the rooms.,Building Science I
"Write short notes on: (Any two) Sol –air- temperature, Cross ventilation, Climate of Nepal, Time lag",Building Science I
"How is single electrode potential of Cu electrode measured experimentally? From the given electrode potential values answer the following:
Write the electrode reactions.
Write the cell reaction.",Chemistry
Ionisation energy of nitrogen is greater than oxygen. Why?,Chemistry
Electron affinity of chlorine is higher than fluorine. Why?,Chemistry
Electro negativity of ‘Ga” is higher than ‘Al’. Why?,Chemistry
Atomic radii go on increasing while moving top to bottom in a group. Why?,Chemistry
Explain why zinc sulphate salt is colorless whereas copper sulphate salt is colorful in nature. Why are transition elements mostly paramagnetic? Explain.,Chemistry
Differentiate between enantiomers and diasteriomers with examples. What are carbocations? 3º carbocations are more stable than 2º carbocations why?,Chemistry
What are elimination reactions? Write the mechanism of E2 reaction giving suitable example.,Chemistry
"Write the mechanism of addition polymerization with example. Give the preparation, properties and uses of nylon 66.",Chemistry
"Show your acquaintance on: Vulcanization of rubber, Nylon 6,6",Chemistry
How cement can be manufactured? Write the stepwise chemical reaction involved during setting of cement.,Chemistry
Define water pollution. Mention and explain the causes and effects of water pollution. What can be done to control it?,Chemistry
What are green house gases? How are these gases responsible for global warming? Explain the effects of global warming and how can it be controlled?,Chemistry
"Write short notes on: (Any two) Electrochemical series, Determination of hardness of water, Bakelite",Chemistry
What are the types of foundation? What type of foundation will you recommended for the foundation on black cotton soils? Give your justification.,Building Technology
Define term Underpinning? Why Underpinning is done? Describe the various stages of underpinning operation in an existing building foundation with the help of neat sketches? Describe with sketches method  of wall underpinning,Building Technology
Compare merits and demerits of brick masonry and stone masonry keeping in view of construction. What are the different types of stone masonry?,Building Technology
What is the function of a roof? Compare flat roof and sloppy roof. What are the factors to be considered while making a choice of a roof system? Explain clearly.,Building Technology
State the various factors to be considered while planning a staircase in a building. Describe with neat sketches the construction of open well staircase and where this is commonly used?,Building Technology
Define opening. Write down the various types of doors & windows based on working operation (Mechanism) of their shutters. Support your answer with neat sketches.,Building Technology
Define term temporary structures. Name the types of temporary structures generally used. Explain with neat sketches any two types of shoring.,Building Technology
Why joints are needed in building construction? What are their functional requirements? Describe the treatment and detailing of joints at roof level and floor level.,Building Technology
What are the different systems of house wiring in residential buildings? Explain sketches earthing .,Building Technology
Explain with the help of sketches construction details of septic tank and soak pit for residential building?,Building Technology
Why is suspended ceilings used in the building? What are the requirements of suspended ceiling? Name their types and explain one of them.,Building Technology
What are the functional requirements of claddings? Explain with sketches different methods of claddings in the load bearing structures.,Building Technology
"Write short notes on any two: Breast wall retaining wall, Charactertics of good paintity, Rainwater harvesting",Building Technology
"Define Specific Gravity, Water absorption, Ductility, Abrasive resistance,   Thermal Conductivity, Dielectric Strength, Magnetic Permeability.",Civil Engineering Materials
What are the various operations involved in the manufacture of bricks with block diagram.,Civil Engineering Materials
What are the qualities of good bricks?,Civil Engineering Materials
With the help of neat curve discuss the Bulking of sand and its importance.,Civil Engineering Materials
Explain the methods to determine the impact and abrasion value of aggregate.,Civil Engineering Materials
Enumerate different chemical ingredients of cement. State the functions of various chemical ingredients of cement.,Civil Engineering Materials
Elaborate about different types of Lime and their uses.,Civil Engineering Materials
Describe the mechanism of brittle fracture.,Civil Engineering Materials
What are the advantages and uses of stainless steel?,Civil Engineering Materials
Write about an iron manufacturing process.,Civil Engineering Materials
What are the different types of steel? Describe about the heat treatment of steel.,Civil Engineering Materials
What are the different types of defects in timber?,Civil Engineering Materials
Explain as to why timber used for structural purpose should be well seasoned. What are the different methods of seasoning?,Civil Engineering Materials
"Write short notes on: (Any two) Asphalt, Bitumen, Tar, Creep and fatigue, Gypsum Products, Rapid Hardeuing Cement",Civil Engineering Materials
What are the criteria of OMG’s  Specification version 2.2? Explain briefly.,Client Server Architecture and Application
"Illustrate the implementation of remote method invocation using proxies, stubs, skeletons in both COM and CORBA.",Client Server Architecture and Application
"""N-tier architecture is the extension of 3-tier architecture"". Justify with suitable example.",Client Server Architecture and Application
Compare the COM and with regard to vertical strategy and horizontal strategy.,Client Server Architecture and Application
Which is the better approach when supporting legacy application using COM? Explain.,Client Server Architecture and Application
Explain the scenario of distributed object transaction.,Client Server Architecture and Application
Discuss the need for stateless object in distributed object management.,Client Server Architecture and Application
Maintaining security is paramount when providing internet access to server side resources. Justify the statement with reference to security issues for internet clients.,Client Server Architecture and Application
Describe the implementation detail of COM/ customer bridge.,Client Server Architecture and Application
Describe the different COM client approaches.,Client Server Architecture and Application
Discuss the various mapping issues in COM/ internetworking specification.,Client Server Architecture and Application
Describe the enterprise application server criteria.,Client Server Architecture and Application
"Write short notes on: (Any two) Interface selection, Destroying CORBA objects, Assessment steps",Client Server Architecture and Application
Explain the detailed structure of IAS computer with neat diagram.,Computer  Organization and Architecture
Draw a flow chart for Booths Algorithms. Multiply (-7) × (3) using Booth's Algorithm and verify the results,Computer  Organization and Architecture
Define instruction set. What are the elements of machine instruction? Draw instruction cycle state diagram.,Computer  Organization and Architecture
"What is a micro-operation? Write down the sequences of micro- operation for fetching and executing JMP X, where X is a location in memory",Computer  Organization and Architecture
What is micro- instruction? Compare and contrast between horizontal and vertical micro-instruction. Support your answer with the help of suitable figure.,Computer  Organization and Architecture
What are the drawbacks of programmed I/O and interrupt driven I/O? Explain how DMA overcomes those drawbacks.,Computer  Organization and Architecture
"Peripherals devices are never connected to the system bus, Why? Draw and explain generic model of the I/O module.",Computer  Organization and Architecture
Describe how limitations of direct mapping and associative mapping are improved by set associative mapping?,Computer  Organization and Architecture
Why virtual memory is necessary? How can you convert logical address into physical address? Explain with necessary figures.,Computer  Organization and Architecture
“Operating system acts as resource manager as well as computer user  interface”. Justify this statement with suitable example.,Computer  Organization and Architecture
What do you mean by pipelining? Explain arithmetic pipelining with the help of suitable example.,Computer  Organization and Architecture
Draw a space-time diagram for a six segment pipeline showing the time it takes to process 8 tasks. Also determine the number of clock cycles that it takes to process 300 task in a six segment pipeline.,Computer  Organization and Architecture
"Write short notes on any two: RAID, Advanced DRAM, Memory Management Hardware",Computer  Organization and Architecture
Answer any three of the following questions: What is a nuclear family? Describe the various ways in which it is. extended in various cultures.( Kinship & Family) Write the complete procedure how you lay the foundation of the road. ( Road Foundation) What are the various disadvantages of science according to the writer? ( The Use and Misuse of Science) How is the concept of beauty changed in course of time? (Beauty),Communication Technique
Suppose you are the sales representative of Asta Computers and Electronics. Now write a sales letter to the wholesaler informing about any newly arrived product with attractive features and it has recently been launched in the market.,Communication Technique
Assume that you are the member of a newly- formed committee of Free Students’ Union. Imagine at least three agendas and write the minutes of the meeting held recently.,Communication Technique
Prepare a  manuscript of technical talk on “Solution of Drinking Water Shortage in Kathmandu Valley”. You are going to present it in 30 minutes talk.,Communication Technique
Suppose you are the president of Himalayan Steels Industry which is facing a serious energy crisis. Now write a memo to all the employees as to draw their attention on what immediate measures can be taken up effectively as to conserve the energy.,Communication Technique
Prepare a neat sketch CV/Resume on your own assuming yourself as an Electrical Engineer.,Communication Technique
"You know that there’s an increasing trend of bunking classes in the colleges of Kathmandu Valley and students like to join bunk party restaurant nearby. Actually this is a great challenge for educational institutions as students are growing up with learning disabilities by wasting their crucial time and money. Now write an Executive Summary of a report you have already prepared that tells public with recommendation what prompted the students to bunk the classes in your research study. (Include – Title, Objectives, Research methods, Findings & Conclusion and Recommendation).",Communication Technique
Write a letter of adjustment grant to the customer who has claimed that the newly bought motorbike from Narayani Motors was found in corroded condition upon the inspection of delivery. As a responsible manager maintain a good will expressing your concern to replace it with a new one.,Communication Technique
Write in few paragraphs describing the processes involved in taking a photograph with an automatic camera or operating a photocopy machine.,Communication Technique
Differentiate between Computer Architecture and Computer Organization. Draw the diagram of extended IAS computer.,Computer  Organization and Architecture
Define addressing modes and their purposes. Explain various addressing modes with their advantages and disadvantages.,Computer  Organization and Architecture
Explain how the concept of micro-programming is used to implement a control unit? How the control word of the micro-instructions could be arranged in the control memory?,Computer  Organization and Architecture
What are micro instructions? Explain different types of instruction based on number of address.,Computer  Organization and Architecture
What are the drawbacks of programmed I/O and interrupt driven I/O? Explain how DMA overcomes those drawbacks.,Computer  Organization and Architecture
Explain about communication between CPU and I/O processor. Support you answer with the help of suitable example.,Computer  Organization and Architecture
Why mapping is needed in cache? Discuss any two mapping strategies use in cache,Computer  Organization and Architecture
Explain the roles of overlapped register window in RISC processor.,Computer  Organization and Architecture
What do you mean by pipelining? How pipelining increases the performance of system?  Explain in detail.,Computer  Organization and Architecture
In certain scientific computations it is necessary to perform the arithmetic operation with a stream of numbers. Specify a pipeline configuration to carry out this task. List the contents of all registers in the pipeline for i=1 through 6.,Computer  Organization and Architecture
Explain about interconnection structure in detail also define cache coherence.,Computer  Organization and Architecture
"Write short  notes on any two: Instruction Cycle, Application of Micro programming, Virtual Memory",Computer  Organization and Architecture
"Explain the terms logical, physical, interconnection, guided and unguided on the basis of computer network.",Computer Network
What do you mean by Man? Explain the standard adopted by MAN and its working Mechanism with help of diagram.,Computer Network
Explain in brief about distributed and client- server system.,Computer Network
What is a network topology? Explain any three topologies with advantages and drawbacks.,Computer Network
What is an open system interconnection? Explain the functionalities of each layer of OSI reference model,Computer Network
Describe network characteristics of X.25 networks. How base band cable differs from broad band cables?,Computer Network
